2091	39908	13.8441	0.980211	2940.87	39908
2093	21714	25.9038	0.973326	861.228	21714
2094	27786	33.035	0.976596	861.266	27786
2095	48831	57.6575	0.980681	863.599	48831
2096	14287	27.4278	0.982639	530.098	14287
2075	68195	41.7705	0.951757	1715.37	68195
2075	68195	41.7705	0.951757	1715.37	68195
2073	57248	22.4269	0.922081	2768.35	57248
2074	78459	30.2274	0.930683	2788.95	78459
2076	91151	55.4172	0.956409	1719.78	91151
2078	29887	16.8289	0.985625	1801.83	29887
2080	37591	21.4624	0.985376	1777.48	37591
2096	14287	27.4278	0.982639	530.098	14287
2087	46094	17.3575	0.940911	2822.34	46094
2088	49093	18.1428	0.951103	2845.04	49093
2089	50967	18.5365	0.958038	2869.98	50967
2090	43208	15.367	0.971664	2893.74	43208
2081	42101	24.0433	0.980821	1785.29	42101
2082	12893	7.56254	0.973674	1750.94	12893
2091	39908	13.8441	0.980211	2940.87	39908
2083	42627	24.888	0.972394	1761.38	42627
2084	41932	24.9457	0.96662	1738.97	41932
2085	46908	27.9467	0.962729	1743.46	46908
2075	69916	41.7705	0.957865	1747.44	69916
2076	93338	55.4172	0.96233	1750.21	93338
2078	30047	16.8289	0.99164	1800.49	30047
2080	37842	21.4624	0.99175	1777.84	37842
2081	42415	24.0433	0.986817	1787.67	42415
2082	13052	7.56254	0.979131	1762.66	13052
2083	43127	24.888	0.978969	1770.07	43127
2084	42616	24.9457	0.973218	1755.36	42616
2085	47820	27.9467	0.969346	1765.23	47820
2073	59361	22.4269	0.928746	2849.93	59361
2074	81168	30.2274	0.936467	2867.42	81168
2087	47352	17.3575	0.946984	2880.78	47352
2088	50260	18.1428	0.957126	2894.34	50260
2089	51880	18.5365	0.964718	2901.17	51880
2090	43790	15.367	0.978447	2912.39	43790
2091	40252	13.8441	0.987075	2945.59	40252
2093	22014	25.9038	0.979913	867.258	22014
2094	28237	33.035	0.982925	869.61	28237
2095	49544	57.6575	0.986583	870.968	49544
2096	14512	27.4278	0.989319	534.81	14512
2075	68288	41.7705	0.957865	1706.75	68288
2076	91042	55.4172	0.96233	1707.16	91042
2078	29405	16.8289	0.99164	1762.02	29405
2080	37024	21.4624	0.99175	1739.41	37024
2081	41488	24.0433	0.986817	1748.6	41488
2082	12775	7.56254	0.979131	1725.25	12775
2083	42125	24.888	0.978969	1728.95	42125
2084	41664	24.9457	0.973218	1716.15	41664
2085	46709	27.9467	0.969346	1724.22	46709
2073	57682	22.4269	0.928746	2769.32	57682
2074	78953	30.2274	0.936467	2789.17	78953
2087	46104	17.3575	0.946984	2804.85	46104
2088	48917	18.1428	0.957126	2817	48917
2089	50527	18.5365	0.964718	2825.51	50527
2090	42637	15.367	0.978447	2835.7	42637
2091	39251	13.8441	0.987075	2872.34	39251
2093	21288	25.9038	0.979913	838.656	21288
2094	27348	33.035	0.982925	842.232	27348
2095	47936	57.6575	0.986583	842.7	47936
2096	14079	27.4278	0.989319	518.853	14079
2075	65962	41.7705	0.957862	1648.62	65962
2076	88202	55.4172	0.962328	1653.91	88202
2078	29202	16.8289	0.99164	1749.85	29202
2080	36745	21.4624	0.991749	1726.31	36745
2081	41020	24.0433	0.986817	1728.88	41020
2082	12533	7.56254	0.97913	1692.57	12533
2083	41379	24.888	0.978968	1698.33	41379
2084	40779	24.9457	0.973216	1679.7	40779
2085	45528	27.9467	0.969344	1680.62	45528
2073	55068	22.4269	0.928742	2643.83	55068
2074	75752	30.2274	0.936463	2676.1	75752
2087	44652	17.3575	0.946981	2716.52	44652
2088	47598	18.1428	0.957124	2741.05	47598
2089	49400	18.5365	0.964716	2762.49	49400
2090	42019	15.367	0.978446	2794.6	42019
2091	38936	13.8441	0.987074	2849.29	38936
2093	21002	25.9038	0.979912	827.39	21002
2094	27006	33.035	0.982924	831.7	27006
2095	47505	57.6575	0.986582	835.123	47505
2096	13952	27.4278	0.989319	514.173	13952
2075	67959	41.7705	0.957865	1698.53	67959
2076	90666	55.4172	0.96233	1700.11	90666
2078	29379	16.8289	0.99164	1760.46	29379
2080	36995	21.4624	0.99175	1738.05	36995
2081	41420	24.0433	0.986817	1745.74	41420
2082	12740	7.56254	0.979131	1720.52	12740
2083	42042	24.888	0.978968	1725.54	42042
2084	41561	24.9457	0.973217	1711.91	41561
2085	46540	27.9467	0.969346	1717.98	46540
2073	57306	22.4269	0.928745	2751.27	57306
2074	78516	30.2274	0.936466	2773.73	78516
2087	45906	17.3575	0.946983	2792.81	45906
2088	48732	18.1428	0.957126	2806.35	48732
2089	50369	18.5365	0.964718	2816.67	50369
2090	42540	15.367	0.978447	2829.25	42540
2091	39211	13.8441	0.987075	2869.41	39211
2093	21246	25.9038	0.979913	837.002	21246
2094	27315	33.035	0.982925	841.216	27315
2095	47886	57.6575	0.986582	841.821	47886
2096	14066	27.4278	0.989319	518.374	14066
